appid,name,discount
298140,Rhiannon: Curse of the Four Branches,80%
298850,Millennium 5 - The Battle of the Millennium,80%
298950,Darkness Within 2: The Dark Lineage,80%
299050,Blood II: The Chosen + Expansion,0
299110,Theatre Of The Absurd,nan
299150,Empress Of The Deep,80%
299160,Empress Of The Deep 2: Song Of The Blue Whale,80%
299380,Masquerade: The Baubles of Doom,nan
299400,XING: The Land Beyond,50%
299540,Heroes Rise: The Prodigy,25%
299660,6180 the moon,61%
299720,Terrorhedron Tower Defense,nan
300260,Planetoid Pioneers,nan
300360,Evil Pumpkin: The Lost Halloween,0
300510,Them - The Summoning,nan
300630,Pure Chess Grandmaster Edition,nan
300820,Disney•Pixar Toy Story 3: The Video Game,0
300900,Hippocampal: The White Sofa,90%
301260,Gardens Inc. 2: The Road to Fame,66%
301500,BOMB: Who let the dogfight?,0
301760,Disney•Pixar Cars 2: The Video Game,0
301830,Disney•Pixar Brave: The Video Game,0
301920,War of the Human Tanks - ALTeR,70%
301930,War of the Human Tanks - Limited Operations,60%
301980,Disney Pirates of the Caribbean: At Worlds End,nan
302160,The Egyptian Prophecy: The Fate of Ramses,70%
302170,The Cameron Files: The Secret at Loch Ness,67%
302180,Voyage: Journey to the Moon,70%
302190,Amerzone: The Explorer’s Legacy,80%
302210,Curse: The Eye of Isis,70%
302320,Storm over the Pacific,80%
302360,Tex Murphy: The Pandora Directive,75%
302390,Necronomicon: The Dawning of Darkness,60%
303510,Dungeons: The Eye of Draconus,66%
303680,FATE: The Traitor Soul,0
303690,FATE: The Cursed King,0
304290,Heroes Rise: The Hero Project,25%
304500,Rooms: The Main Building,75%
304750,Voodoo Chronicles: The First Sign HD - Director’s Cut Edition,75%
304950,Castaway Paradise - Town Building Sim,nan
305380,Blue Estate The Game,0
305480,Heileen 2: The Hands Of Fate,66%
305780,Echo of the Wilds,45%
305960,Dragon: The Game,0
306370,World of Subways 1 – The Path,66%
307010,Northmark: Hour of the Wolf,70%
307050,Shan Gui (山桂),nan
307210,Will Fight for Food: Super Actual Sellout: Game of the Hour,0
307600,Chainsaw Warrior: Lords of the Night,75%
307920,Wildlife Park 2 - Farm World,nan
308060,Black The Fall,50%
308173,Hegemony III: Clash of the Ancients,67%
308180,Jacob Jones and the Bigfoot Mystery : Episode 2,0
310490,Crookz - The Big Heist,60%
310700,Super Win the Game,80%
310890,Breach & Clear: Deadline Rebirth (2016),nan
311250,Doorways: The Underworld,75%
311690,Enter the Gungeon,50%
311770,LEGO® Pirates of the Caribbean: The Video Game,0
312350,Commander: The Great War,75%
312540,Ys VI: The Ark of Napishtim,0
312780,Way of the Samurai 4,70%
312970,My Ex-Boyfriend the Space Tyrant,50%
313650,Time Mysteries 2: The Ancient Spectres,70%
313810,Legend of Kay Anniversary,nan
314120,Frayed Knights: The Skull of S'makh-Daon,50%
314210,Tesla Breaks the World!,90%
314330,DROD: Gunthro and the Epic Blunder,50%
314340,Chess 2: The Sequel,0
314360,Aritana and the Harpy's Feather,nan
314510,Fall of the New Age Premium Edition,0
315650,Deep Under the Sky,70%
316160,Broken Sword 4 - the Angel of Death,75%
316420,The Curse of the Werewolves,0
316430,Battle of Empires : 1914-1918,nan
317250,Airscape - The Fall of Gravity,75%
317320,Nelly Cootalot: The Fowl Fleet,50%
317620,Space Hulk: Ascension,nan
317940,Karmaflow: The Rock Opera Videogame - Act I & Act II,nan
318090,DICETINY: The Lord of the Dice,nan
