index,appid,name,release_date,english,developer,publisher,required_age,achievements,total_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,may_19_av,may_19_peak,jun_19_av,jun_19_peak,jul_19_av,may_jun_avuplift,may_jun_avupliftpc,jun_jul_avuplift,jun_jul_avupliftpc
4862,359280,Heroes of Loot,2015-05-25,1,Orangepixel,Orangepixel,0,1,72,0.6666666666666666,3.99,0.0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,284.0,0.06,2.0,0.08,2.0,0.09,0.020000000000000004,0.3333333333333334,0.009999999999999995,0.12499999999999993
4864,359310,Evoland 2,2015-08-25,1,Shiro Games,Shiro Games,0,1,3315,0.8708898944193062,14.99,50.0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1004.0,19.03,45.0,17.24,51.0,16.56,-1.7900000000000027,-0.09406200735680519,-0.6799999999999997,-0.03944315545243618
4865,359320,Elite Dangerous,2015-04-02,1,Frontier Developments,Frontier Developments,0,0,37149,0.7037336132870333,19.99,70.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,18039.0,4226.74,8628.0,3194.75,6001.0,4361.94,-1031.9899999999998,-0.2441574357542692,1167.1899999999996,0.3653462712262304
4866,359340,Pixel Puzzles Mosaics,2017-06-09,1,DL Softworks,DL Softworks,0,1,21,0.8571428571428571,6.99,80.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,340.0,0.23,3.0,0.52,3.0,2.89,0.29000000000000004,1.2608695652173914,2.37,4.5576923076923075
4867,359350,Defunct,2016-01-29,1,Freshly Squeezed,SOEDESCO Publishing,0,1,392,0.8163265306122449,6.99,90.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,137.0,1.71,13.0,0.87,5.0,0.77,-0.84,-0.49122807017543857,-0.09999999999999998,-0.11494252873563215
4868,359370,Pirate's Life,2015-04-17,1,Team Eyepatch,None,0,0,66,0.3787878787878788,3.99,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.0,0.02,1.0,0.06,2.0,0.05,0.039999999999999994,1.9999999999999996,-0.009999999999999995,-0.1666666666666666
4869,359390,Amnesia™: Memories,2015-08-25,1,Idea Factory;Design Factory,Idea Factory International,0,1,1928,0.9351659751037344,15.49,80.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,558.0,25.19,61.0,21.42,54.0,30.11,-3.7699999999999996,-0.14966256450972606,8.689999999999998,0.40569561157796435
4870,359400,Why Am I Dead At Sea,2015-05-11,1,Peltast Software,Peltast Software,0,1,275,0.9381818181818182,3.99,60.0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,24.0,0.47,4.0,0.69,5.0,0.75,0.21999999999999997,0.4680851063829787,0.06000000000000005,0.08695652173913052
4871,359420,The Journeyman Project 1: Pegasus Prime,2017-02-20,1,Presto Studios,Presto Studios,0,1,22,0.9545454545454546,6.99,35.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,11.0,0.09,2.0,0.11,2.0,0.18,0.020000000000000004,0.22222222222222227,0.06999999999999999,0.6363636363636362
4872,359440,Artifact Adventure,2015-06-01,1,bluffman,AGM PLAYISM,0,0,110,0.7090909090909091,4.99,67.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,34.0,0.62,5.0,0.86,5.0,0.63,0.24,0.3870967741935484,-0.22999999999999998,-0.26744186046511625
