index,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,jun_19_av,jul_19_av,jun_jul_avuplift,jun_jul_avupliftpc
2182,266250,Procyon,2014-02-26,1,Deadly Red Cube,Deadly Red Cube,0,1,100,13,0.8849557522123894,2.79,75.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,39.0,0.06,0.06,0.0,0.0
2183,266270,Gridiron Solitaire,2014-01-21,1,Bill and Eli Productions,Bill and Eli Productions,0,0,55,14,0.7971014492753623,5.59,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.0,0.23,0.25,0.01999999999999999,0.08695652173913039
2184,266290,Helicopter Simulator 2014: Search and Rescue,2014-02-28,1,VipaGames,VipaGames,0,1,93,219,0.2980769230769231,4.99,90.0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,26.0,0.23,0.38,0.15,0.6521739130434782
2185,266310,GameGuru,2015-05-19,1,The Game Creators,The Game Creators,0,0,908,323,0.7376116978066612,14.99,70.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.0,23.79,29.77,5.98,0.25136612021857924
2186,266330,Ethan: Meteor Hunter,2014-02-07,1,Seaven Studio,Seaven Studio,0,1,131,78,0.6267942583732058,6.99,80.0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,82.0,0.19,0.13,-0.06,-0.3157894736842105
2187,266370,Calibre 10 Racing,2014-03-26,1,Bongfish GmbH,Bongfish GmbH,0,1,47,58,0.44761904761904764,1.59,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,59.0,0.01,0.06,0.049999999999999996,4.999999999999999
2188,266390,Farm for your Life,2014-06-16,1,Hammer Labs,Hammer Labs,0,1,431,105,0.8041044776119403,6.99,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,337.0,1.83,2.06,0.22999999999999998,0.1256830601092896
2189,266410,iRacing,2015-01-12,1,iRacing.com Motorsport Simulations;iRacing,iRacing.com Motorsport Simulations;iRacing,0,0,747,140,0.8421645997745209,7.99,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,635.0,77.04,78.88,1.8399999999999892,0.023883696780892902
2191,266510,Hand of Fate,2015-02-17,1,Defiant Development,Defiant Development,0,1,8045,794,0.9101708338047291,14.99,75.0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,2169.0,60.43,41.68,-18.75,-0.31027635280489824
2192,266840,Age of Mythology: Extended Edition,2014-05-08,1,SkyBox Labs;Ensemble Studios,Microsoft Studios,0,1,9336,1577,0.8554934481810684,22.99,0.0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,11010.0,1056.2,1302.0,245.79999999999995,0.2327210755538723
2193,266980,The Labyrinth of Time,2014-11-26,1,Terra Nova Development,Nightdive Studios,0,0,4,2,0.6666666666666666,4.79,75.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,0.02,0.04,0.02,1.0
2194,267060,Gravity Badgers,2013-11-28,1,Wales Interactive,Wales Interactive,0,1,262,160,0.6208530805687204,3.99,80.0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,122.0,0.14,0.07,-0.07,-0.5
2196,267340,Beware Planet Earth,2014-04-11,1,Lightmare Studio,BANDAI NAMCO Entertainement,0,1,177,80,0.688715953307393,6.99,0.0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,176.0,0.87,0.87,0.0,0.0
2197,267360,MURI,2013-12-06,1,Ludosity;Remar Games,Ludosity,0,0,408,39,0.912751677852349,3.99,40.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,101.0,0.09,0.07,-0.01999999999999999,-0.22222222222222213
2198,267490,Batman™: Arkham Origins Blackgate - Deluxe Edition,2014-04-01,1,Armature Studio,WB Games,0,1,589,917,0.39110225763612216,14.99,75.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,141.0,4.4,5.35,0.9499999999999993,0.21590909090909072
2199,267530,The LEGO® Movie - Videogame,2014-02-27,1,TT Fusion;Traveller's Tales;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,1,1825,374,0.8299226921327876,14.99,75.0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1394.0,52.03,55.18,3.1499999999999986,0.060541995002882924
2200,267600,Airport Simulator 2014,2013-12-19,1,United Independent Entertainment GmbH,United Independent Entertainment GmbH,0,0,143,803,0.1511627906976744,6.99,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126.0,0.9,0.65,-0.25,-0.2777777777777778
2201,267610,Woodcutter Simulator 2013,2013-12-19,1,United Independent Entertainment GmbH,United Independent Entertainment GmbH,0,0,145,386,0.2730696798493409,5.79,70.0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48.0,0.25,0.1,-0.15,-0.6
2202,267670,Realms of Arkania 1 - Blade of Destiny Classic,2014-01-10,1,attic Entertainment Software GmbH,United Independent Entertainment GmbH,0,0,43,23,0.6515151515151515,2.49,70.0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67.0,0.81,0.9,0.08999999999999997,0.11111111111111106
2203,267730,Ground Pounders,2014-07-15,1,Kerberos Productions Inc.,Kerberos Productions Inc.,0,1,16,23,0.41025641025641024,3.99,50.0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,198.0,1.73,0.11,-1.6199999999999999,-0.9364161849710982
2204,267900,Guilty Gear Isuka,2014-01-16,1,Arc System Works,Arc System Works,0,0,148,145,0.5051194539249146,6.99,80.0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,187.0,0.9,0.55,-0.35,-0.38888888888888884
2205,267920,Gun Metal,2014-01-16,1,Rage Software,Funbox Media Ltd,0,0,557,170,0.7661623108665749,2.09,75.0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1091.0,0.85,0.74,-0.10999999999999999,-0.12941176470588234
2206,267940,Glacier 3: The Meltdown,2014-01-23,1,Team 6 Studios,Funbox Media Ltd,0,0,113,315,0.26401869158878505,2.09,75.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.0,0.03,0.14,0.11000000000000001,3.6666666666666674
2207,267960,Hyper Fighters,2014-01-23,1,Team 6 Studios,Funbox Media Ltd,0,0,96,313,0.23471882640586797,2.09,75.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0,0.01,0.01,0.0,0.0
2208,267980,Hostile Waters: Antaeus Rising,2014-01-30,1,Rage Software,Funbox Media Ltd,0,0,231,84,0.7333333333333333,2.09,75.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1294.0,0.55,0.58,0.029999999999999916,0.05454545454545439
