appid,name,discount
24960,Battlefield: Bad Company™ 2,75%
24980,Mass Effect 2,75%
25000,Overgrowth,50%
25010,Lugaru HD,80%
25500,Cricket Revolution,0
25620,Eschalon: Book II,20%
25700,Madballs in Babo:Invasion ,0
25800,Europa Universalis III Complete,75%
25830,Knights of Honor,75%
25850,Elven Legacy,80%
25890,Hearts of Iron III,75%
25900,King's Bounty: The Legend,75%
25910,Supreme Ruler 2020 Gold,
25930,East India Company,0
25980,Majesty 2,75%
25990,Majesty Gold HD,
26000,The Maw,75%
26300,Drug Wars,0
26800,Braid,70%
26900,Crayon Physics Deluxe,90%
27000,The Path,50%
27020,The Graveyard,50%
27050,Fatale,50%
27200,Summer Athletics,75%
27330,Blacklight: Tango Down,0
27400,Dangerous High School Girls in Trouble!™,50%
27600,Mevo and The Grooveriders,0
27800,Space Giraffe,0
27810,Gridrunner Revolution,0
27900,Twin Sector,50%
27920,Booster Trooper,60%
27940,Dead Horde,60%
28000,Kane & Lynch 2: Dog Days,0
29120,Yumsters 2: Around the World,0
29130,Musaic Box,0
29160,Blueberry Garden,0
29180,Osmos,60%
29800,Caster,0
29900,Dark Sector,0
31270,Puzzle Agent,0
31300,Tunnel Rats,0
31800,Nancy Drew®: Danger by Design,40%
31810,Nancy Drew®: Last Train to Blue Moon Canyon,40%
31820,Nancy Drew®: The Haunted Carousel,40%
31830,Nancy Drew®: Curse of Blackmoor Manor,40%
31840,Nancy Drew®: Danger on Deception Island,40%
31850,Nancy Drew®: Ghost Dogs of Moon Lake,40%
31860,Nancy Drew®: Legend of the Crystal Skull,40%
31870,"Nancy Drew® Dossier: Lights, Camera, Curses!",40%
31880,Nancy Drew®: Secret of the Old Clock,40%
31890,Nancy Drew®: Secret of the Scarlet Hand,40%
31900,Nancy Drew®: The Creature of Kapu Cave,40%
31910,Nancy Drew®: The Haunting of Castle Malloy,40%
31920,Nancy Drew®: The Phantom of Venice,40%
31930,Nancy Drew®: The White Wolf of Icicle Creek,40%
31980,Nancy Drew®: Ransom of the Seven Ships,40%
32000,Raycatcher,0
32110,LUXOR: Mah Jong,66%
32120,Chainz 2: Relinked,66%
32140,Midnight Mysteries,
32150,Everyday Genius: SquareLogic,0
32160,Zombie Bowl-o-Rama,66%
32200,Metal Drift,50%
32310,Indiana Jones® and the Last Crusade™,65%
32330,LEGO® Indiana Jones™: The Original Adventures,75%
32340,LOOM™,65%
32350,STAR WARS™ Starfighter™,65%
32360,The Secret of Monkey Island: Special Edition,65%
32370,STAR WARS™ - Knights of the Old Republic™,65%
32380,STAR WARS™ Jedi Knight: Dark Forces II,65%
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,65%
32400,STAR WARS™ - Dark Forces,0
32410,Lucidity™,65%
32420,STAR WARS™: The Clone Wars - Republic Heroes™,65%
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,
32440,LEGO® Star Wars™ - The Complete Saga,65%
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,75%
32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,65%
32470,STAR WARS™ Empire at War - Gold Pack,65%
32500,STAR WARS™: The Force Unleashed™ II,65%
32510,LEGO® Star Wars™ III - The Clone Wars™,65%
32610,Delta Force Xtreme 2,75%
32620,Delta Force,75%
32630,Delta Force 2,75%
32640,Delta Force Land Warrior,75%
32650,Delta Force: Task Force Dagger,75%
32660,Delta Force: Xtreme,75%
32710,Armored Fist 3,75%
32720,F-16 Multirole Fighter,75%
32730,F-22 Lightning 3,75%
32740,MiG-29 Fulcrum,75%
32750,Comanche 4,75%
32760,Tachyon: The Fringe,75%
32770,Joint Operations: Combined Arms Gold,75%
32900,Restaurant Empire II,75%
33100,Alien Shooter,80%
33110,Alien Shooter: Revisited,50%
33120,Alien Shooter 2: Reloaded,50%
33130,Zombie Shooter,80%
33180,Zombie Shooter 2,50%
33230,Assassin's Creed 2 Deluxe Edition,66%
33320,Prince of Persia: The Forgotten Sands™,66%
33390,Zeit²,
33460,From Dust,75%
33520,Tropico Reloaded,75%
33570,Patrician III,75%
33600,Broken Sword 2 - the Smoking Mirror: Remastered,0
33610,Broken Sword 3 - the Sleeping Dragon,75%
33620,Crash Time 3,80%
33650,Puzzler World,85%
33660,Ziro,75%
33670,Disciples III - Renaissance Steam Special Edition,75%
33680,eversion,35%
33760,The Search for Amelia Earhart,0
33770,Drakensang: The River of Time,75%
33790,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,80%
33900,Arma 2,80%
33930,Arma 2: Operation Arrowhead,80%
33950,Fish Fillets 2,80%
33980,Pound of Ground,80%
33990,Alternativa,80%
34010,Alpha Protocol™,0
34190,Sonic & SEGA All-Stars Racing,0
34410,Death to Spies: Moment of Truth,75%
34420,XIII Century – Gold Edition,80%
34500,Light of Altair,0
34600,Order of War™,0
34630,Massive Assault,50%
34640,Massive Assault: Phantom Renaissance,50%
34800,Chronicles of Mystery: The Scorpio Ritual,80%
34810,Project Freedom,75%
34820,Combat Wings: Battle of Britain,82%
34830,Sniper: Ghost Warrior,0
34870,Sniper: Ghost Warrior 2,82%
34900,Bad Rats: the Rats' Revenge,51%
34920,Razor2: Hidden Skies,80%
35000,Mini Ninjas,0
35070,Flora's Fruit Farm,0
35130,Lara Croft and the Guardian of Light,0
35140,Batman: Arkham Asylum Game of the Year Edition,75%
35300,Warfare,50%
35310,Clutch,50%
35320,Insane 2,50%
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0
35460,The Ball,75%
35480,Dwarfs!?,75%
35600,Big Brain Wolf,0
35700,Trine Enchanted Edition,0
35720,Trine 2: Complete Story,85%
36000,Foreign Legion: Buckets of Blood,75%
36100,Tradewinds Classics,0
36130,Tradewinds Caravans + Odyssey Pack,
36180,Cake Mania Collection,0
36210,Monster Mash,0
36240,Kuros,0
36300,Cake Mania Main Street™,0
36310,Westward® IV: All Aboard,0
36320,Iron Roses,0
36900,Angle of Attack,0
36910,All Aspect Warfare,0
37000,The Void,0
37010,Ninja Blade,0
37030,UFO: Extraterrestrials Gold,
37100,Aztaka,0
37210,Chocolatier®: Decadence by Design™,0
37220,Cooking Dash®,0
37230,Diaper Dash®,0
37240,Diner Dash:® Hometown Hero™,0
37260,Emerald City Confidential™,0
37270,Wandering Willows™,0
37280,Wedding Dash® 2: Rings Around the World,0
37300,DinerTown Tycoon,0
37310,DinerTown Detective Agency™,0
37320,The Nightshift Code™,0
37330,Nightshift Legacy: The Jaguar's Eye™,0
37340,Fitness Dash™,0
37370,TriJinx: A Kristine Kross Mystery™,0
37380,Valerie Porter and the Scarlet Scandal™,0
37390,Gemini Lost™,0
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",85%
37500,Magnetis ,0
37600,Windosill,0
37700,Darkest of Days,0
37800,Quantz,0
37960,Jewel Quest Pack,
38000,Mahjong Quest Collection,
38070,Coconut Queen,0
38080,Build-A-Lot,0
38090,Build-A-Lot 2: Town of the Year,0
38100,Build-A-Lot 3: Passport to Europe,0
38110,Build-A-Lot 4: Power Source,0
38120,Farm Frenzy,0
38130,Farm Frenzy 2,0
38140,Farm Frenzy: Pizza Party,0
38150,Farm Frenzy 3,0
38160,Farm Frenzy 3: American Pie,0
38170,Cradle of Rome,0
38180,Cradle of Persia,0
38190,Romance of Rome,0
38210,Roogoo,51%
38230,Hotel Giant 2,50%
38400,Fallout: A Post Nuclear Role Playing Game,0
38410,Fallout 2: A Post Nuclear Role Playing Game,0
38420,Fallout Tactics: Brotherhood of Steel,0
38430,Kingpin — Life of Crime,50%
38450,MDK,50%
38460,MDK 2,50%
38490,Earthworm Jim 2,0
38600,Faerie Solitaire,90%
38700,Toki Tori,90%
38720,RUSH,50%
38740,EDGE,90%
39110,SEASON OF MYSTERY: The Cherry Blossom Murders,50%
39140,FINAL FANTASY VII,20%
39150,FINAL FANTASY VIII,50%
39190,Dungeon Siege,0
39200,Dungeon Siege II,0
39210,FINAL FANTASY XIV Online,0
39500,Gothic® 3,75%
39510,Gothic II: Gold Edition,75%
39520,The Guild Gold Edition,75%
39540,SpellForce - Platinum Edition,75%
39560,Painkiller: Resurrection,75%
39630,AquaNox,75%
39640,AquaNox 2: Revelation,0
39650,The Guild II,75%
39660,The Guild II - Pirates of the European Seas,75%
39670,Chaser,75%
39680,The Guild II Renaissance,75%
39690,ArcaniA,75%
39800,Nation Red,66%
39900,Coniclysm,10%
40100,Supreme Commander 2,0
40200,ItzaBitza,0
40210,ItzaZoo,0
40300,Risen,75%
40320,Rush for Berlin Gold,
40330,Secret Files: Tunguska,66%
40340,Secret Files 2: Puritas Cordis,66%
40350,Lost Horizon,70%
40380,nail'd,50%
40390,Risen 2: Dark Waters,75%
40400,AI War: Fleet Command,75%
40420,Tidalis,75%
40500,Sacraboar,0
40700,Machinarium,70%
40720,Samorost 2,70%
40930,The Misadventures of P.B. Winterbottom,0
40950,Stronghold HD,75%
40970,Stronghold Crusader HD,80%
40980,Stronghold Legends: Steam Edition,67%
40990,Mafia,33%
41000,Serious Sam HD: The First Encounter,0
41070,Serious Sam 3: BFE,90%
41100,Hammerfight,0
41400,Doom Rails,0
41500,Torchlight,0
41600,Earthworm Jim 3D,0
41660,Tommy Tronic,50%
41680,Death and the Fly,50%
41700,S.T.A.L.K.E.R.: Call of Pripyat,70%
41740,Cargo! The Quest for Gravity,70%
41800,Gratuitous Space Battles,66%
41900,The Bard's Tale,50%
42000,Trino,0
42120,Lead and Gold: Gangs of the Wild West,75%
42140,Hamilton's Great Adventure,75%
42170,Krater,75%
42210,Nancy Drew®: Secrets Can Kill REMASTERED,40%
42220,Nancy Drew®: The Captive Curse,40%
42230,Nancy Drew®: Trail of the Twister,40%
42500,DogFighter,0
42670,Singularity™,75%
42700,Call of Duty®: Black Ops,51%
42810,For The Glory: A Europa Universalis Game,0
42850,Arsenal of Democracy: A Hearts of Iron Game,0
42890,Sword of the Stars: Complete Collection,0
42910,Magicka,75%
42920,The Kings' Crusade,75%
42930,Elven Legacy: Magic,75%
42940,Elven Legacy: Siege,75%
42950,Elven Legacy: Ranger,75%
42960,Victoria II,75%
